site_id,site_name,lat,lon,website,site_type,active
finch_foundry_nt,Finch Foundry (NT),50.7304443,-3.925902,,museum,True
flatford_mill,Flatford Mill,51.958828,1.021697,https://www.nationaltrust.org.uk/visit/suffolk/flatford,attraction,True
fleece_inn,Fleece Inn,52.0920229,-1.8653416,https://thefleeceinn.co.uk/,attraction,True
folly,Folly,51.6358061,-2.3207926,,folly,True
fontmell_and_melbury_downs_sac,Fontmell and Melbury Downs SAC,50.967766,-2.1543238,,nature_reserve,True
footprint,Footprint,54.3889001,-2.9118003,https://www.nationaltrust.org.uk/visit/lake-district/windermere-and-footprint,,True
fountains_abbey,Fountains Abbey,54.1095785,-1.5811179,https://www.nationaltrust.org.uk/fountains-abbey-and-studley-royal-water-garden,ruins,True
fountains_abbey_and_studley_royal,Fountains Abbey and Studley Royal,54.1176913,-1.5748748,,attraction,True
fountains_hall,Fountains Hall,54.1097819,-1.5864491,,manor,True
fox_talbot_museum,Fox Talbot Museum,51.4146233,-2.1201441,https://www.nationaltrust.org.uk/lacock-abbey-fox-talbot-museum-and-village,museum,True
foxbury,Foxbury,50.9515142,-1.5720318,https://www.nationaltrust.org.uk/foxbury,,True
frenchay_moor,Frenchay Moor,51.4972416,-2.5162956,,park,True
frensham_common,Frensham Common,51.1609624,-0.7827746,,nature_reserve,True
fyne_court,Fyne Court,51.083203,-3.1117234,,garden,True
gawthorpe_hall,Gawthorpe Hall,53.8027522,-2.2948019,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/gawthorpe-hall,museum,True
george_stephenson_s_birthplace,George Stephenson's Birthplace,54.9793401,-1.8049531,https://www.nationaltrust.org.uk/george-stephensons-birthplace/,museum,True
gibside,Gibside,54.9226029,-1.7253527,https://www.nationaltrust.org.uk/gibside,attraction,True
gibson_mill,Gibson Mill,53.7651239,-2.042369,https://www.nationaltrust.org.uk/visit/yorkshire/hardcastle-crags,attraction,True
gladiator,Gladiator,52.035686,-1.0152849,,attraction,True
glastonbury_tor,Glastonbury Tor,51.1441713,-2.7001151,,park,True
glendurgan_garden,Glendurgan Garden,50.1072401,-5.1170359,https://www.nationaltrust.org.uk/visit/cornwall/glendurgan-garden,garden,True
goddards_garden,Goddards Garden,53.9402004,-1.1033032,https://www.nationaltrust.org.uk/goddards/,attraction,True
godolphin_count_house,Godolphin Count House,50.1378947,-5.3587062,https://www.nationaltrust.org.uk/godolphin,attraction,True
godolphin_estate,Godolphin Estate,50.1374578,-5.358973,,yes,True
golden_cap,Golden Cap,50.726382,-2.8412028,https://www.nationaltrust.org.uk/golden-cap/,,True
gothic_cross,Gothic Cross,52.0294055,-1.0153891,,attraction,True
grantham_house,Grantham House,52.9150279,-0.6399474,https://www.nationaltrust.org.uk/grantham-house/,,True
great_chalfield_manor,Great Chalfield Manor,51.3673589,-2.2024517,,attraction,True
great_work_mine,Great Work Mine,50.1280677,-5.3658267,,yes,True
grecian_urn,Grecian Urn,52.0366602,-1.0140736,,attraction,True
green_court,Green Court,52.1513635,-1.1582119,,attraction,True
greenway_house,Greenway House,50.3818786,-3.5877824,https://www.britainsfinest.co.uk/gardens/greenway,attraction,True
greyfriars_garden,Greyfriars Garden,52.1905409,-2.2183373,,garden,True
greyfriars_house_and_garden,Greyfriars House And Garden,52.1904772,-2.2186294,https://www.nationaltrust.org.uk/visit/worcestershire-herefordshire/greyfriars-house-and-garden,,True
greys_court_national_trust,Greys Court (National Trust),51.5449194,-0.955764,,attraction,True
guildhall_of_corpus_christi,Guildhall of Corpus Christi,52.1087908,0.7966197,,museum,True
gumber_bothy,Gumber Bothy,50.8981782,-0.6346149,,hostel,True
gunby_estate_hall_and_gardens,Gunby Estate Hall and Gardens,53.179317,0.1940967,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/gunby-estate-hall-and-gardens,park,True
hafod_y_bwch_commemorative_woodland,Hafod y Bwch Commemorative Woodland,53.0097741,-3.0248768,,park,True
ham_house,Ham House,51.4442287,-0.3140515,https://www.nationaltrust.org.uk/visit/london/ham-house-and-garden,attraction,True
hanbury_hall,Hanbury Hall,52.2718248,-2.0832571,,attraction,True
hardwick_hall,Hardwick Hall,53.1683036,-1.308913,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/hardwick,attraction,True
hare_hill,Hare Hill,53.2878349,-2.1882531,,park,True
harewoods,Harewoods,51.1944286,-0.1041352,https://www.nationaltrust.org.uk/visit/surrey/harewoods,nature_reserve,True
hatchlands_park,Hatchlands Park,51.2577227,-0.4717619,https://www.nationaltrust.org.uk/hatchlands-park,attraction,True
hatfield_forest,Hatfield Forest,51.8566694,0.231957,,park,True
headley_heath,Headley Heath,51.2660727,-0.2804851,https://www.nationaltrust.org.uk/visit/surrey/headley-heath,nature_reserve,True
heald_brow,Heald Brow,54.1593912,-2.8153619,,nature_reserve,True
heathwaite,Heathwaite,54.1837567,-2.8467173,,nature_reserve,True
helsby_hillfort,Helsby Hillfort,53.2732937,-2.7624438,,archaeological_site,True
henman_bunkhouse,Henman Bunkhouse,51.1959764,-0.3718136,,hostel,True
hercules_antaeus,Hercules & Antaeus,52.0349258,-1.0165754,,attraction,True
hidcote_manor_garden,Hidcote Manor Garden,52.0835307,-1.7464063,,garden,True
high_and_low_bar,High and low Bar,50.0826893,-5.2940785,,fitness_station,True
hill_top,Hill Top,54.3517341,-2.9705608,https://www.nationaltrust.org.uk/hill-top/,attraction,True
hindhead_commons_and_the_devil_s_punch_bowl,Hindhead Commons and the Devil's Punch Bowl,51.1142343,-0.7289162,https://www.nationaltrust.org.uk/hindhead-and-devils-punchbowl/,attraction,True
hinton_ampner,Hinton Ampner,51.0436074,-1.1507311,https://www.nationaltrust.org.uk/hinton-ampner/,attraction,True
hinton_ampner_gardens,Hinton Ampner Gardens,51.043155,-1.1506677,,garden,True
hod_hill,Hod Hill,50.8951101,-2.2048907,https://www.pastscape.org.uk/hob.aspx?hob_id=206122,archaeological_site,True
holeslack_farmhouse,Holeslack Farmhouse,54.2888836,-2.7818189,,chalet,True
holmwood_common,Holmwood Common,51.2006149,-0.3195901,https://www.nationaltrust.org.uk/holmwood-common,nature_reserve,True
holy_austin_rock_houses,Holy Austin Rock Houses,52.4500865,-2.2420959,https://www.nationaltrust.org.uk/visit/shropshire-staffordshire/kinver-edge-and-the-rock-houses,attraction,True
home_farm,Home Farm,52.1449829,-0.0424385,,attraction,True
horsey_windpump,Horsey Windpump,52.7410804,1.6390155,https://www.nationaltrust.org.uk/visit/norfolk/horsey-windpump,attraction,True
horton_court,Horton Court,51.5636576,-2.3386555,,attraction,True
houghton_mill,Houghton Mill,52.3309103,-0.1206233,,attraction,True
housesteads_roman_fort,Housesteads Roman Fort,55.0133115,-2.3302691,https://www.nationaltrust.org.uk/hadrians-wall/,attraction,True
hughenden_manor,Hughenden Manor,51.6502966,-0.7566829,,attraction,True
hughenden_park,Hughenden Park,51.6494289,-0.7532201,,park,True
ickworth_house,Ickworth House,52.2202815,0.6568784,https://www.nationaltrust.org.uk/visit/suffolk/ickworth-estate,attraction,True
ightham_mote,Ightham Mote,51.2584847,0.2696516,,attraction,True
ilam_hall_bunkhouse,Ilam Hall Bunkhouse,53.0527961,-1.8059868,,bunkhouse,True
jack_scout,Jack Scout,54.1563678,-2.8282865,,nature_reserve,True
john_lennon_s_childhood_home,John Lennon's Childhood Home,53.3772587,-2.8813612,,attraction,True
kedleston_hall,Kedleston Hall,52.9591593,-1.5359107,https://www.nationaltrust.org.uk/kedleston-hall,attraction,True
kedleston_park,Kedleston Park,52.9606031,-1.535801,,park,True
killerton_house,Killerton House,50.7914686,-3.457732,https://www.nationaltrust.org.uk/killerton/,attraction,True
killerton_park,Killerton Park,50.7943416,-3.4611897,,attraction,True
kinder_scout_national_nature_reserve,Kinder Scout National Nature Reserve,53.3853522,-1.8806509,,nature_reserve,True
king_alfred_s_tower,King Alfred's Tower,51.1148701,-2.3650256,,attraction,True
kingston_lacy,Kingston Lacy,50.8109247,-2.0317657,https://www.nationaltrust.org.uk/kingston-lacy/,manor,True
kingston_lacy_estate,Kingston Lacy Estate,50.8104402,-2.0287571,,park,True
knightshayes,Knightshayes,50.926407,-3.4807333,,building,True
knightshayes_court,Knightshayes Court,50.9268584,-3.4810207,,attraction,True
knole_house,Knole House,51.2663376,0.2053765,https://www.nationaltrust.org.uk/knole/,attraction,True
lamb_house,Lamb House,50.9499191,0.7327185,https://www.nationaltrust.org.uk/visit/sussex/lamb-house,attraction,True
lambert_s_castle,Lambert's Castle,50.7849882,-2.8955144,https://www.nationaltrust.org.uk/visit/dorset/lamberts-and-coneys-castle,,True
lambert_s_meadow,Lambert's meadow,54.1704861,-2.8123862,,nature_reserve,True
langdon_hill,Langdon Hill,50.7330606,-2.8354498,https://www.nationaltrust.org.uk/article-1356403764234/,attraction,True
lanhydrock_house,Lanhydrock House,50.4408468,-4.6976468,https://www.nationaltrust.org.uk/visit/cornwall/lanhydrock,attraction,True
lantern_pike_circular_ethel_high_peak,"Lantern Pike Circular (Ethel), High Peak",53.3883072,-1.9584887,,yes,True
lee_hills,Lee Hills,52.8402574,-2.6690544,,nature_reserve,True
leith_hill_tower,Leith Hill Tower,51.1763592,-0.3713068,https://www.nationaltrust.org.uk/visit/surrey/leith-hill,attraction,True
levant_mine,Levant Mine,50.1526677,-5.6834046,,mine,True
levant_mine_and_beam_engine,Levant Mine and Beam Engine,50.1521099,-5.6854128,https://www.nationaltrust.org.uk/levant-mine-and-beam-engine,museum,True
little_moreton_hall,Little Moreton Hall,53.1271185,-2.251786,,attraction,True
lode_water_mill,Lode water mill,52.2403306,0.2399304,,attraction,True
longshaw,Longshaw,53.3156446,-1.6045878,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/longshaw-burbage-and-the-eastern-moors,,True
longshaw_estate,Longshaw Estate,53.3112416,-1.612692,,nature_reserve,True
lost_lad_and_back_tor_ethels_high_peak,"Lost Lad and Back Tor (Ethels), High Peak",53.403979,-1.7194662,,yes,True
lyme_hall,Lyme Hall,53.3381056,-2.054672,https://historicengland.org.uk/listing/the-list/list-entry/1231685,attraction,True
lyme_park,Lyme Park,53.339287,-2.057348,https://www.nationaltrust.org.uk/lyme-park/,park,True
lyveden,Lyveden,52.4594321,-0.5549827,,attraction,True
maidenhead_and_cookham_commons,Maidenhead and Cookham Commons,51.5453838,-0.7414999,https://www.nationaltrust.org.uk/maidenhead-and-cookham-commons,attraction,True
margery_hill_and_high_stones_ethels_high_peak,"Margery Hill and High Stones (Ethels), High Peak",53.4434958,-1.7324708,,yes,True
marquess_urn,Marquess Urn,52.0293107,-1.013166,,attraction,True
marsden_moor_estate_exhibition,Marsden Moor Estate Exhibition,53.6030796,-1.9290128,https://www.nationaltrust.org.uk/visit/yorkshire/marsden-moor,museum,True
melford_hall,Melford Hall,52.0835868,0.7217936,https://www.nationaltrust.org.uk/visit/suffolk/melford-hall,,True
mompesson_house,Mompesson House,51.0668156,-1.7982826,https://www.nationaltrust.org.uk/mompesson-house/,attraction,True
monk_s_house,Monk's House,50.8386941,0.0165605,https://www.nationaltrust.org.uk/monks-house/,attraction,True
monkey_bar,Monkey Bar,50.0721388,-5.2948242,,fitness_station,True
montacute_house,Montacute House,50.9517225,-2.7140021,https://www.nationaltrust.org.uk/montacute-house/,manor,True
morven_park,Morven Park,51.702075,-0.172285,https://www.nationaltrust.org.uk/morven-park,park,True
moseley_old_hall,Moseley Old Hall,52.6374482,-2.1023726,https://www.nationaltrust.org.uk/visit/shropshire-staffordshire/moseley-old-hall,attraction,True
mottisfont_abbey,Mottisfont Abbey,51.0410416,-1.5348934,,attraction,True
mount_famine_south_head_and_brown_knoll_ethels_high_peak,"Mount Famine, South Head and Brown Knoll (Ethels), High Peak",53.3689844,-1.9022874,,yes,True
mr_straw_s_house,Mr Straw's House,53.3151713,-1.1154461,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/mr-straws-house,museum,True
muse_of_pastoral_poetry,Muse of Pastoral Poetry,52.0374264,-1.0138493,,folly,True
nt_nymans_gardens,NT Nymans Gardens,51.0503264,-0.1964953,https://www.nationaltrust.org.uk/visit/sussex/nymans,attraction,True
national_trust,National Trust,52.0056655,-1.8629729,https://www.nationaltrust.org.uk/snowshill-manor,yes,True
national_trust,National Trust,55.581571,-1.653711,https://www.nationaltrust.org.uk/,,True
national_trust_claremont_landscape_gardens,National Trust - Claremont Landscape Gardens,51.3562751,-0.3782793,,attraction,True
